Company,Domain,City,Headcount,Industry,Compliance Driver,Target Title,Contact Name,LinkedIn Company URL,Trigger,Why Now,Fit Score
Savant Wealth Management,savantwealth.com,"Westwood, NJ",200,Financial Services – RIA,FINRA annual training + harassment prevention,Chief Compliance Officer / VP of HR,TBD – search LinkedIn,https://www.linkedin.com/company/savant-wealth-management,Rapid AUM growth ($15.5B); active hiring,AUM growth + new advisor hires require annual FINRA training documentation; manual tracking breaks at this scale.,5
HB Wealth (Homrich Berg),hbwealth.com,"Atlanta, GA",215,Financial Services – RIA,FINRA compliance + AML + harassment prevention,Director of Compliance / Head of HR,TBD – search LinkedIn,https://www.linkedin.com/company/homrich-berg,Rebranded 2024; expanding advisor count,Rebrand + advisor growth means all staff need updated compliance videos aligned to new firm identity.,5
Cassaday & Company,cassaday.com,"McLean, VA",150,Financial Services – RIA,FINRA annual training + SEC requirements,COO / Director of Operations,TBD – search LinkedIn,https://www.linkedin.com/company/cassaday-and-company,18 consecutive Barron's Top 100 rankings; consistent hiring,Established brand prioritises consistent quality — off-the-shelf training doesn't match their positioning.,4
Mission Wealth,missionwealth.com,"Santa Barbara, CA",150,Financial Services – RIA,FINRA + CFP ethics training,Head of People / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/mission-wealth,Forbes Top RIA 2024; growing advisor team,Growing fee-only RIA adding advisors annually — each new hire triggers mandatory FINRA training cycle.,4
Cary Street Partners,carystreetpartners.com,"Richmond, VA",120,Financial Services – RIA,FINRA annual training + state securities,VP Operations / CCO,TBD – search LinkedIn,https://www.linkedin.com/company/cary-street-partners,Barron's Top 100 2024; southeastern expansion,Regional expansion adds staff in new states — multi-state compliance training needs standardisation.,4
GHP Investment Advisors,ghpia.com,"Denver, CO",100,Financial Services – RIA,FINRA + Colorado state securities compliance,COO / HR Director,TBD – search LinkedIn,https://www.linkedin.com/company/ghp-investment-advisors,Forbes Top RIA 2024; steady growth,Crossed 100-employee threshold — the point where manual onboarding breaks and documented training becomes an audit requirement.,4
Inszone Insurance Services,inszoneinsurance.com,"Sacramento, CA",200,Insurance Brokerage,State insurance licensing CE + harassment prevention,VP of People / Director of HR,TBD – search LinkedIn,https://www.linkedin.com/company/inszone-insurance-services,+61% revenue growth YoY; 45 acquisitions in 2023,Rapid M&A means 100s of new employees onboarding with inconsistent training — a liability and culture risk.,5
Newfront Insurance,newfront.com,"San Francisco, CA",300,Insurance Brokerage – Benefits Tech,Employee benefits compliance + state licensing,Director of Learning / Head of HR,TBD – search LinkedIn,https://www.linkedin.com/company/newfront,Partnership with Pave Feb 2025; benefits platform expansion,Tech-forward brokerage that positions on quality — outdated compliance training is an off-brand experience for their staff.,4
Specialty1 Partners,specialty1partners.com,"Houston, TX",500,Healthcare – Dental (DSO),HIPAA + OSHA + state dental board,Director of Compliance / VP of Training,TBD – search LinkedIn,https://www.linkedin.com/company/specialty1-partners,220+ locations in 28 states; one of fastest-growing DSOs,HIPAA training must be documented for every workforce member — at 220 locations this is impossible without a video-based system.,5
Beacon Oral Specialists,beaconoralspecialists.com,"Dallas, TX",300,Healthcare – Oral Surgery (DSO),HIPAA + OSHA 300 + DEA controlled substances,Head of People / Compliance Manager,TBD – search LinkedIn,https://www.linkedin.com/company/beacon-oral-specialists,90+ locations in 11 states; founded 2020 rapid growth,Fast growth from startup to 90 locations means onboarding is ad hoc — one HIPAA breach penalty dwarfs a training investment.,5
42 North Dental,42northdental.com,"Waltham, MA",300,Healthcare – Dental (DSO),HIPAA + OSHA + state dental board (7 states),Director of Training / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/42-north-dental,108+ practices across 7 states; consistent growth since 2007,Multi-state DSO with 108 practices needs consistent HIPAA and infection control training across all locations.,5
